"n_good","n_bad","spearman","kendall"
200,1,0.985978391356543,0.911836734693878
200,2,0.985402160864346,0.906938775510204
200,3,0.988763505402161,0.926530612244898
200,4,0.982713085234094,0.902040816326531
200,5,0.986266506602641,0.913469387755102
200,6,0.993373349339736,0.947755102040816
200,7,0.986074429771909,0.906938775510204
200,8,0.983961584633854,0.908571428571429
200,9,0.98031212484994,0.902040816326531
200,10,0.978199279711885,0.888979591836735
200,20,0.982905162064826,0.915102040816327
200,30,0.985018007202881,0.911836734693878
200,40,0.980216086434574,0.890612244897959
200,50,0.965714285714286,0.851428571428571
200,60,0.974549819927971,0.884081632653061
200,70,0.980216086434574,0.888979591836735
200,80,0.861704681872749,0.689795918367347
200,90,0.962833133253301,0.848163265306122
200,100,0.968979591836735,0.848163265306122
